,Type,ProductBrand,Color,Size,LookBook,Gender,Fabric,ImageLink,Season,DiscountedPrice,Discount,ProductLink
22,manyavar blended cotton embroidery kurta set for men,manyavar,blue,S,traditional,men,blended cotton,https://m.media-amazon.com/images/I/51UHo8ClVEL._SY879_.jpg,,"4,591",8%,https://www.amazon.in/Manyavar-Sleeves-Mandarin-Engagement-Embroidery/dp/B0BQC8WZYS/ref=sr_1_1_sspa?crid=5NQOQPPF65ZO&dib=eyJ2IjoiMSJ9.-LyCNPpM7Fd_yFDnbAv9HngDa96Fybh9_WE3Wbe48DCQt-tymJBWWHMwV_hFX25PYW2aAEINmLXoIWCJgL-rLBBG7R0eh8pxkjpJFLBOqB-CxttFDGCFVkY5tB0PhUmlrskmL8JVmaWsghEn_bFg5I3PALBi74r3R54UD102RjGW_6ISq78DcvuxSJMaPbPSVWM2HqL5SHnzxCNR9VwKlRI7TBBBCf4jJEFhbh97ytsgaivwso5_bNjuZ5gLEuXUMDf9n9piqna8wmun3PXotu4BRjZS3HcEe40sn4wn8xs.5LvskrwoDg9AuS0dySsTkyIVCPKh4Uq_FhzRMkERLYc&dib_tag=se&keywords=manyavar&qid=1713613628&sprefix=manyava%2Caps%2C230&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&psc=1
23,manyavar men's blended kurta & pyjama set (m315009),manyavar,white,S,traditional,men,cotton,https://m.media-amazon.com/images/I/71F-Z9NyuWL._SY879_.jpg,,"1,870",6%,https://www.amazon.in/Manyavar-Blended-Kurta-Pyjama-White/dp/B017D4HPF8/ref=sr_1_1_sspa?crid=1IKUIV6WVGH6Y&dib=eyJ2IjoiMSJ9.LF6edKKMmuSqHdcZTTzH6SlQ2eJiOHBAbC3XzHWkoqhrnGqSSIIU4GKy84rGhz8KRSZnBmEGgYt6CpfqzA9HRsCtcxS_VRh17XbdsMLIB4Iokoh6ww5-SQgn_UOxTnRI9HjMVc2pm55FT7Ru2evs1lLMg0mBx5VnE4dFgs2iv3MZps8T6a4vXmnebChjUZ8vuOhCnMCISi5jkRf_bypF4HobxliBWKNmfvPU00t5Wxb1cI3kOf216U2L-F_Y-2y7BllJUTtYr-goKnGur-6GbH9UolJh6v6YOFBYgmNrLao.Onz_CIG7w3Xa1Hif04MKxlUG8zaVg2R4tSspcJ4jeA8&dib_tag=se&keywords=manyavar%2Bwhite&qid=1713616706&sprefix=manyavar%2Bwhit%2Caps%2C226&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
24,manyavar men kurta pyjama with waistcoat,manyavar,grey blue,S,traditional,men,silk,https://m.media-amazon.com/images/I/711Hbapxi9L._SY879_.jpg,,"6,999",0%,https://www.amazon.in/Manyavar-Regular-Striped-Churidar-Designer/dp/B074FSH7NZ?ref_=ast_slp_dp&th=1&psc=1
25,miss ethnik women's faux georgette semi stitched top with stitched faux georgette bottom and faux georgette dupatta embroidered straight kurta dress material (kurta palazzo set),miss ethnik,maroon,S,traditional,women,faux georgette with santoon inner,https://m.media-amazon.com/images/I/71dNIIMX1HL._SY879_.jpg,,"1,699",58%,https://www.amazon.in/Miss-Ethnik-Georgette-Embroidered-ME-1033-M/dp/B08QFJ52SZ/ref=sr_1_7?crid=3FL8CWZ78GCG4&dib=eyJ2IjoiMSJ9.alr8NUNzxIgdqP5F1mYkaA2ZzJosjbrdhdcpINYiLbjZ2TIHdLqSgCea17lqLcScmUuj7NflMGiRVm1iym1giDJF8eEtDvwaRgSFvtRDE3NBLCQlpiQxHUOnAgjDFjJXSAWYndz8ohBeHdNaRxC3vzhgUyuAfwFs_K-LZphTZKzjUCLzeS1v1I--5CXa7Q7KIIKIK8bs3DY49fIUq7XyzK5qHfNUyo6kA_QhfLCNe5vmsgpWRO0vggGIAOvUbHj9hDcQrxNXCTbcjhsuZlS5nBI5lF5dK76UaSCvtPfDTi4.eNby1jnqTFx4t18aZoOCK1X2HETkLcoe_268NJ_2uV8&dib_tag=se&keywords=women+traditional+wear&qid=1713617401&s=apparel&sprefix=women+tradition%2Capparel%2C218&sr=1-7
26,c j enterprise women's pure kanjivaram soft silk saree for wedding with blouse piece (devratnaa silver paithani),c j enterprise,silver,S,traditional,women,art silk,https://m.media-amazon.com/images/I/71+QCT39CJL._SX679_.jpg,,681,32%,https://www.amazon.in/Enterprise-Kanjivaram-Kanchipuram-Banarasi-DevRatnaa/dp/B0CQK63MZ8/ref=sr_1_11?crid=3FL8CWZ78GCG4&dib=eyJ2IjoiMSJ9.alr8NUNzxIgdqP5F1mYkaA2ZzJosjbrdhdcpINYiLbjZ2TIHdLqSgCea17lqLcScmUuj7NflMGiRVm1iym1giDJF8eEtDvwaRgSFvtRDE3NBLCQlpiQxHUOnAgjDFjJXSAWYndz8ohBeHdNaRxC3vzhgUyuAfwFs_K-LZphTZKzjUCLzeS1v1I--5CXa7Q7KIIKIK8bs3DY49fIUq7XyzK5qHfNUyo6kA_QhfLCNe5vmsgpWRO0vggGIAOvUbHj9hDcQrxNXCTbcjhsuZlS5nBI5lF5dK76UaSCvtPfDTi4.eNby1jnqTFx4t18aZoOCK1X2HETkLcoe_268NJ_2uV8&dib_tag=se&keywords=women+traditional+wear&qid=1713617401&s=apparel&sprefix=women+tradition%2Capparel%2C218&sr=1-11
27,amazon brand - myx short kurtis for women| cotton kurtis| kurtis for women,myx store,blue,S,traditional,women,cotton,https://m.media-amazon.com/images/I/81cyZ6h+B4L._SY879_.jpg,,399,33%,https://www.amazon.in/Amazon-Brand-Myx-womens-AW16VALST01A_Blue_Large/dp/B01JOB4FDI/ref=sxbs_pa_sp_search_thematic_btf_sspa?content-id=amzn1.sym.e2faeae3-5951-42bc-a1a4-e628c23c9e02%3Aamzn1.sym.e2faeae3-5951-42bc-a1a4-e628c23c9e02&crid=3FL8CWZ78GCG4&cv_ct_cx=women%2Btraditional%2Bwear&dib=eyJ2IjoiMSJ9.-NnVrgxlP32Gv4KYe0RmBPui5O01qWLXaFFyB-lVElzrh6lDfpnS-_-ALFsgwdjD8k3PQTX1V2d72-J2li_84g.wAKJtOTHQv64F2eXxXPCMfegpZm9Fm4rib3HUKNr9oc&dib_tag=se&keywords=women%2Btraditional%2Bwear&pd_rd_i=B01JOB4FC4&pd_rd_r=1aec7183-4f63-460e-b9b6-5f0cd8f13f6d&pd_rd_w=VxjgS&pd_rd_wg=IBN6p&pf_rd_p=e2faeae3-5951-42bc-a1a4-e628c23c9e02&pf_rd_r=CD52WPTF1W22X6RT755X&qid=1713617401&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=women%2Btradition%2Capparel%2C218&sr=1-2-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm&th=1&psc=1
28,"rameshwaram fabrics men's indian traditional wedding dress, readymade dhoti with sherwani style kurta - stole",rameshwaram fabrics store,pink white,S,traditional,men,art silk,https://m.media-amazon.com/images/I/71swhMfRFcL._SY879_.jpg,,"1,909",58%,https://www.amazon.in/Rameshwaram-Fabrics-Traditional-Readymade-Sherwani/dp/B0CKJYQSWH/ref=sr_1_10?crid=2MUO2UMSXIFMK&dib=eyJ2IjoiMSJ9.ksbvYY6OWYTAOVjuLSPW4r1WU51ckpIYlmXImlOjIBOxwsTnLhcmy-04RyVSVhPEa094405fLriEVLs2K1FjgCSHLVktVuMG3Gn6p1R4a9l3wLTRP1eEoHVrIWD54ENXKc92WGRBLberwv-zb7cny21qrmcdUYmEeIVoc0YugHcu1LrNVOr5RGeFzuWpCu6elYVhg275ZI3T-w5aVwLBacx5wjz6xiE0q1wnyWkN49_klTKQ-Zz7dt9joCFvJ-3A2sGNQybvbKw5qEzS0VWjBszCywlMRySLEFtZC9azFes.6SHMXEtlyCtwjOLNGdLfq-qUvpptSmSdHd4BSwSXP38&dib_tag=se&keywords=traditional+cloth+for+men&qid=1713618179&s=apparel&sprefix=traditional+cloth+for+men%2Capparel%2C203&sr=1-10
29,xepon mens ethnic wear sky traditional indo western set,xepon,cyan,S,traditional,men,jacquard,https://m.media-amazon.com/images/I/71ofwB5x+RL._SY879_.jpg,,"1,996",50%,https://www.amazon.in/XEPON-mens-SKY-Traditional-Indo/dp/B0CPYH99F5/ref=sr_1_15?crid=2MUO2UMSXIFMK&dib=eyJ2IjoiMSJ9.ksbvYY6OWYTAOVjuLSPW4r1WU51ckpIYlmXImlOjIBOxwsTnLhcmy-04RyVSVhPEa094405fLriEVLs2K1FjgCSHLVktVuMG3Gn6p1R4a9l3wLTRP1eEoHVrIWD54ENXKc92WGRBLberwv-zb7cny21qrmcdUYmEeIVoc0YugHcu1LrNVOr5RGeFzuWpCu6elYVhg275ZI3T-w5aVwLBacx5wjz6xiE0q1wnyWkN49_klTKQ-Zz7dt9joCFvJ-3A2sGNQybvbKw5qEzS0VWjBszCywlMRySLEFtZC9azFes.6SHMXEtlyCtwjOLNGdLfq-qUvpptSmSdHd4BSwSXP38&dib_tag=se&keywords=traditional+cloth+for+men&qid=1713618179&s=apparel&sprefix=traditional+cloth+for+men%2Capparel%2C203&sr=1-15
30,lymio casual shirt for men|| shirt for men|| men stylish shirt (rib-shirt),lymio,black grey,S,partywear,men,polyester,https://m.media-amazon.com/images/I/71gxzNP0V3L._SY741_.jpg,,479,88%,https://www.amazon.in/Lymio-Casual-Shirt-Stylish-Rib-Shirt/dp/B0CRPGGZLR/ref=sr_1_7?crid=IW5H78PTJAPH&dib=eyJ2IjoiMSJ9.rlf47KTsChasM1Ktvrt6y2FLufOtZjlQWu81Xz9VJdycqSvVuFRnWDTaGoc26UTqJtuRirB8t7RL969g4zPqjZJ6eI4uEU2kbYfHmP-79SACHPb5GfwjHdgdkBUiSOcjwitLsoMXdy0EBlQlYWiLW3zX_iCrMhUubBmHA1yen6Nj57lPdwXxg36ifJyKG2JtuLTG5_gB-N9sc7OWZYe9cXewaPH_ypcYpSzHkJMKDjw02Zg-_gwaUEdOmGkCLV5rD6lVN7nHKWwQGVQWAC7xx2apntkINHIddNGFq3RINKI.GOQwNPB23HbZyNcG099LHNS2C-QlgAp1ingM5YV4aw8&dib_tag=se&keywords=party+wear+shirts+for+men&qid=1713641061&sprefix=party%2Caps%2C220&sr=8-7
31,otus men's cotton printed casual/party shirt,otus,black yellow green,s,partywear,men,cotton,https://m.media-amazon.com/images/I/71hIhzgVnyL._SX569_.jpg,,417,77%,https://www.amazon.in/OTUS-Cotton-Printed-Casual-Party/dp/B0BMTN6VCL/ref=sr_1_9?crid=IW5H78PTJAPH&dib=eyJ2IjoiMSJ9.rlf47KTsChasM1Ktvrt6y2FLufOtZjlQWu81Xz9VJdycqSvVuFRnWDTaGoc26UTqJtuRirB8t7RL969g4zPqjZJ6eI4uEU2kbYfHmP-79SACHPb5GfwjHdgdkBUiSOcjwitLsoMXdy0EBlQlYWiLW3zX_iCrMhUubBmHA1yen6Nj57lPdwXxg36ifJyKG2JtuLTG5_gB-N9sc7OWZYe9cXewaPH_ypcYpSzHkJMKDjw02Zg-_gwaUEdOmGkCLV5rD6lVN7nHKWwQGVQWAC7xx2apntkINHIddNGFq3RINKI.GOQwNPB23HbZyNcG099LHNS2C-QlgAp1ingM5YV4aw8&dib_tag=se&keywords=party+wear+shirts+for+men&qid=1713641061&sprefix=party%2Caps%2C220&sr=8-9
32,damensch men's t-shirt,damensch,red black white blue green yellow,s,summer ,men,cotton,https://m.media-amazon.com/images/I/615mWIaVZPL._SY879_.jpg,,751,6%,https://www.amazon.in/DAMENSCH-Casual-Colorblock-Tops-Pack-Splicing-Medium/dp/B0C3J3RSNT/ref=sr_1_1_sspa?crid=3LNRIFZ2J9QDT&dib=eyJ2IjoiMSJ9.dvaz79RJWv7H9jMj3tCGZcdytQB6c-fYZp1cGgMEBAOOGc00K9hZrJHQqynZJn8cM4zVjJb_1SipiAw4BvlqTuKtvDpjvPW1NARxi_c-TgUqKNmHc8wrVIWHIP-yYCnO9zGFT5xmwMsVHTpKusuIFdSyyku7kAna02e7DqrZ4nFVwlWhqw6odnkxauUQj2eNZqrQGqUacCjG43-cE7yuOlM4txDpekvaBx4mBO2eI-ci08M7vR4LhaOExAJEN4DV6ZjWfg0L5pqf5n5nVXXRvD7iC03TikKki6BpXAWoALo.kTYwYh8sZ3TNOrFU4NRj5ZeffDpnNiZDKEW4IOXlkHg&dib_tag=se&keywords=summer+t+shirts+for+men&qid=1713643227&sprefix=summer+%2Caps%2C301&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
33,rodzen oversized | loose fit | relaxed fit | wide fit half sleeves cotton blend round neck tie dye t-shirt for womens/girls,rodzen,blue green yellow,s,summer loose-fit,women,cotton blend,https://m.media-amazon.com/images/I/61wNDmNCUTL._SY741_.jpg,,349,77%,https://www.amazon.in/RodZen-Oversized-Relaxed-Sleeves-RZW01TIEDIEGREEN-M_Green_M/dp/B0BW454Z1W/ref=sr_1_7?crid=191M5RYJTHF9W&dib=eyJ2IjoiMSJ9.dLmZVrRR8zRAjcHbM35SYdamY9cssapGi4nuWLdXOlxp0uZIExqawW4Xlw6WKv9uliODpg9poJ2243F3a-ZmqLK_GFEZPB4O9Zzt5g0fF5p9YHpSJHd161Qp9EsrUvuGU0srE5yDjDlqkUcRJY-Z3vrHZUOP88uphO413Kwcr-7Md7lb1MOxYp76fLX3CY8Vr4zZr6paF9ZiJMUVqPMmTBdGvhc9EEunB266sX8WsxmmYMt8gaIz37QMsfphdYif5jNdNPGHWPKHRlm0iQaGYr9p08oR__6THVkghZBekUA.W1GTRGmQQMEa3RX5kfh-gF2QbLPNQ9wNQ1DV3R39aE0&dib_tag=se&keywords=summer+t+shirts+for+women&qid=1713643464&sprefix=summer+t+shirts+for+women%2Caps%2C241&sr=8-7
34,columbia mens delta ridge down hooded jacket,columbia,blue,s,winter,men,polyester,https://m.media-amazon.com/images/I/61vjWmTZd5L._SX679_.jpg,,"10,399",20%,https://www.amazon.in/Columbia-Delta-Hooded-Jacket-WE0954-452-S_Blue/dp/B0B9B6WH47/ref=sr_1_5?crid=1E7S04GS51CNA&dib=eyJ2IjoiMSJ9.aIKO4oqBu-PejBYXrnMWYpgaq-k1waKCC2alCWOeIc7yNXdLVh-fakuNvnmnGDANq0LNVwfQ7ZBYe2z508K5f7YxKDkYPN8gloItFz14tyd6Xq4y_qBogInKzrQ4yviVjgW_VyGTK4Hs93qEMmFbpHtByixc2tEGEfmPQhFx3iGrNpudrGw1pbw4c7gXSajYGgnEanLziaZcscGrv1H1nwriXPVSR0mGui0UjsLMmJX_RFa0knkqCDShnWew3P5uy6YcJQ_wF7Ue0Icpx2XhqGB5FSccR103NlVDtCoFoAk.tzGUkzcIuw28U4rhcs7wJFNsS85TmnFUtSL1PXMgGKM&dib_tag=se&keywords=winter+jackets+for+men&qid=1713643623&sprefix=winter+%2Caps%2C226&sr=8-5
35,ellipse jackets for women full sleeves winter jackets with inner mobile pocket jackets with zip closure,ellipse,green,s,winter,women,nylon,https://m.media-amazon.com/images/I/41kLNH3T60L.jpg,,"2,160",57%,https://www.amazon.in/ELLIPSE-Jackets-Sleeves-Closure-Spearmint/dp/B0C49PPNX3/ref=sr_1_37?crid=EC48QKNESI3Z&dib=eyJ2IjoiMSJ9.zEGzyRKXz1sSdHppYWfV58Owf7pscEBZsKNsHlPIir6yBm6eLg2gRzZXUmKPK9RCPvP896GBHeIZtxN0tP1RvXqq6imc1oSMagceAhIqX2CvxkEQ705Nubgk9TfCuBtC_hZIMFrsDpNA7cnFWYfwbjB73rMSlAPTd09PvzgzGl7ccXnh58RbnzWOnpHIUjiF1SymENClY92lyuAStYbjA4UZa4ZV30Yj3jSDZIQPpw7U_PT8Pqd_9Zm1TIwzUfe1N0oRAoaqHybefOHoluj-75BznOg8dprSayduoK4E81c.vldvJkHBktSyLwtWScfCKc1tG4STn1FUVZkdfVD8qZU&dib_tag=se&keywords=winter+jackets+for+women&qid=1713643771&sprefix=winter+jackets+for+women%2Caps%2C219&sr=8-37
36,"van heusen women allover print lounge shorts - 100% modal - functional pocket, superior drape",van heusen,blue black white ,s,summer shorts,women,modal,https://m.media-amazon.com/images/I/610vBhasFvL._SY741_.jpg,,649,2%,https://www.amazon.in/Van-Heusen-comma-Woman-55501_Anemone/dp/B0BXQ8S14C/ref=sr_1_7?crid=BOV4EYZ2ARXK&dib=eyJ2IjoiMSJ9.uv41KZsERpu04orINlu78zcBIRyW0yRnCalZODt6yjSc-TEouk3qHyJOClqUR4_RjWvellIOXb6tVCwsB363wpnZNEfK40BPhycnsDDg6jMqlVgO8B87zGes8weAgoMUofofaq5A6REtfTGEf12PUFEnG_rnedmJkq6a82Q82Cbfm4KrSBztbM9bgTHhjHDjzM79ZefIrgHXAPOlObu2AwehVHFpuvCYuGXF9p_zHNIwijUMixUOsX4vu9CuGuOVhrZQIQ2PfsfzknB8Wu76H2OAsQvnYWBRjr0QDpRIkA4.ECNdwML-rpOU0SO7pDie96oog0mJF_iU2s2qiYafbkY&dib_tag=se&keywords=summer+shorts+for+women&qid=1713643693&sprefix=summer+shorts%2Caps%2C277&sr=8-7
37,levi's 028 plain woven boxer shorts for men with tag free comfort & smartskin technology,levi's,blue,s,summer shorts,men,cotton,https://m.media-amazon.com/images/I/51+azWlvYpL._SY741_.jpg,,524,13%,https://www.amazon.in/Levis-Boxers-028-BOXER-Shorts_Blue-Mel-P1_M/dp/B07VSPQWVK/ref=sr_1_4_sspa?crid=ATUBFPS6ZHPD&dib=eyJ2IjoiMSJ9.40W8Wr1igwa2v1h6ukQm-Pbq-p68R4Z07ZXrn_OaSoCjneiRI9y3zI4mNXZDqmWm5Ak22-GEKY-XJxw61DVUMYXHUt6RHwFVEWEDJzG1N-_scRw8QylzsC3aZay1eQVzyZvNFnaK6bNXr7weqgKV9_Ruf4k8pkx93uf225n95sH-NTDU_OYOJjfe6_yDTe8K2VbXu0BYZ7VsijzRZ_YoJOb2uf3fCKAreElqc9YaBp0MhpNpEwPxFGpEYAakiPa7dWBxii7EqQHUVCxcjT7V5ZZXVeXh57WlDm_q7RkfRgY.YiZngdST9WAK5CLF69ziy1U6A4hs6kW_odXz5UQlpQQ&dib_tag=se&keywords=summer+shorts+for+men&qid=1713643816&sprefix=summer+shorts+for+men%2Caps%2C290&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
38,puma men's boxer shorts,puma,yellow black,s,summer shorts,men,polycotton,https://m.media-amazon.com/images/I/81k26aDYwjL._SX569_.jpg,,809,55%,https://www.amazon.in/Puma-Regular-Polycotton-58674203_Medium-Heather_XL/dp/B08V4L5WKZ/ref=sr_1_18?crid=ATUBFPS6ZHPD&dib=eyJ2IjoiMSJ9.40W8Wr1igwa2v1h6ukQm-Pbq-p68R4Z07ZXrn_OaSoCjneiRI9y3zI4mNXZDqmWm5Ak22-GEKY-XJxw61DVUMYXHUt6RHwFVEWEDJzG1N-_scRw8QylzsC3aZay1eQVzyZvNFnaK6bNXr7weqgKV9_Ruf4k8pkx93uf225n95sH-NTDU_OYOJjfe6_yDTe8K2VbXu0BYZ7VsijzRZ_YoJOb2uf3fCKAreElqc9YaBp0MhpNpEwPxFGpEYAakiPa7dWBxii7EqQHUVCxcjT7V5ZZXVeXh57WlDm_q7RkfRgY.YiZngdST9WAK5CLF69ziy1U6A4hs6kW_odXz5UQlpQQ&dib_tag=se&keywords=summer+shorts+for+men&qid=1713643816&sprefix=summer+shorts+for+men%2Caps%2C290&sr=8-18
39,abbl fashionable full sleeves winter men's standard length polyester jacket for stylish comfortable huddy for adult boys,abbl,black grey,s,winter,men,polyester,https://m.media-amazon.com/images/I/41CIyyRX8OL.jpg,,799,20%,https://www.amazon.in/ABBL-Fashionable-Sleeves-Winter-Comfortable/dp/B0CQFTZ623/ref=sr_1_16?crid=1E7S04GS51CNA&dib=eyJ2IjoiMSJ9.aIKO4oqBu-PejBYXrnMWYpgaq-k1waKCC2alCWOeIc7yNXdLVh-fakuNvnmnGDANq0LNVwfQ7ZBYe2z508K5f7YxKDkYPN8gloItFz14tyd6Xq4y_qBogInKzrQ4yviVjgW_VyGTK4Hs93qEMmFbpHtByixc2tEGEfmPQhFx3iGrNpudrGw1pbw4c7gXSajYGgnEanLziaZcscGrv1H1nwriXPVSR0mGui0UjsLMmJX_RFa0knkqCDShnWew3P5uy6YcJQ_wF7Ue0Icpx2XhqGB5FSccR103NlVDtCoFoAk.tzGUkzcIuw28U4rhcs7wJFNsS85TmnFUtSL1PXMgGKM&dib_tag=se&keywords=winter+jackets+for+men&qid=1713643928&sprefix=winter+%2Caps%2C226&sr=8-16
40,campus sutra women's polyester bomber jacket regular fit for casual wear | full sleeve | stylish standard length bomber jacket crafted with comfort fit and high performance for everyday wear,campus sutra,pink,s,winter,women,polyester,https://m.media-amazon.com/images/I/61yL-zXhrpL._SX679_.jpg,,725,79%,https://www.amazon.in/Campus-Sutra-Regular-Standing-Buttoned/dp/B0BDDN92LX/ref=sr_1_8?crid=18O7C374OGOUH&dib=eyJ2IjoiMSJ9.zEGzyRKXz1sSdHppYWfV58Owf7pscEBZsKNsHlPIir6yBm6eLg2gRzZXUmKPK9RCPvP896GBHeIZtxN0tP1RvXqq6imc1oSMagceAhIqX2CvxkEQ705Nubgk9TfCuBtC_hZIMFrsDpNA7cnFWYfwbjB73rMSlAPTd09PvzgzGl7ccXnh58RbnzWOnpHIUjiF1SymENClY92lyuAStYbjA4UZa4ZV30Yj3jSDZIQPpw7U_PT8Pqd_9Zm1TIwzUfe1N0oRAoaqHybefOHoluj-75BznOg8dprSayduoK4E81c.vldvJkHBktSyLwtWScfCKc1tG4STn1FUVZkdfVD8qZU&dib_tag=se&keywords=winter+jackets+for+women&qid=1713644028&sprefix=winter+jackets+for+women%2Caps%2C218&sr=8-8
41,leriya fashion men regular fit shirt || rayon tropical printed regular fit shirts || summer wear regular fit shirt || perfect for outing || vacation wear regular fit shirt for boys || gift,leriya,pink green blue,s,summer loose-fit,men,rayon,https://m.media-amazon.com/images/I/71ShBw4g6GL._SX679_.jpg,,289,86%,https://www.amazon.in/Leriya-Fashion-Tropical-Printed-Vacation/dp/B0C33XWGCX/ref=sr_1_7?crid=3B4KWNXXCCY1I&dib=eyJ2IjoiMSJ9.tsdisfn4kI_fWV0oiP9TobI6Y_f1nUG_pZaAR9cj8JKIvMCLHf-t3bZ1SpLOCbAGZ2_Yxt6gq3sF43lDzxiwHijrXcmI4Njw1c3M1iboCgJQtjywskBMKErufKyaXyESljc6sKUdrGR2kMVfJaamBdeCwvyTF9nmm2aFazmrVA08ypWNqYsOg2JvOC1GpE_0H3_6qePvAJa8ZTqo1y3WkDkJNHAzERAanz6bHELJFomc0BaSz4vmvM8cTGXonaVUlq-Xl-lQAznpSSI8a3sjOEmhf74_1Yzhm0g-erZJaW8.iPKDpH04j3WYsGZYDJuwx3zi2D1jGJQFc_Mx2UONgE8&dib_tag=se&keywords=summer+shirts+for+men&qid=1713644042&sprefix=summer+shirt+for+men%2Caps%2C229&sr=8-7
42,peter england men's blazer,peter england,blue navy black,s,bussiness smartlook marriage,men,polyester,https://m.media-amazon.com/images/I/51vNvv20uwL._SY741_.jpg,,3039,39%,https://www.amazon.in/Peter-England-Mens-Blazer-PIBZSNSBS78506_MediumBlue80_44/dp/B0B2K5V3B7?ref_=Oct_d_orecs_d_1968108031_5&pd_rd_w=U2Sdl&content-id=amzn1.sym.ccf65f35-fe5b-49bb-87f1-40c5c96eca67&pf_rd_p=ccf65f35-fe5b-49bb-87f1-40c5c96eca67&pf_rd_r=8FAG8V4TYREXZWW40811&pd_rd_wg=SxOZJ&pd_rd_r=29aaedf3-4164-4103-a87f-421d21b3cddf&pd_rd_i=B0B2K5V3B7
43,iftekhar men's pure leather jacket - blue - (iftekhar11 - xl),iftekhar,black,s,funky aesthetic,men,leather,https://m.media-amazon.com/images/I/41xbrZ69jpL.jpg,,8999,10%,https://www.amazon.in/Iftekhar-Mens-Pure-leather-Jacket/dp/B00RP290SO/ref=lp_1968109031_1_2?pf_rd_p=9e034799-55e2-4ab2-b0d0-eb42f95b2d05&pf_rd_r=2PNQ24CEGP12S8P2JCHJ
